,questions,answers
0,Q. 1. List four observations that help us to determine whether a chemical reaction has taken place.,Ans. (i) Evolution of a gas (ii) Change in temperature (2 marks each) (iii) Change in state (iv) Change in colour. 
1,Q. 11. Translate the following statement into chemical equation and then balance it : ‘‘A metal in the form of ribbon burns with a dazzling white flame and changes into a white powder.’ ,Ans. Magnesium combines with atmospheric oxygen to form magnesium oxide. → 2MgO 2Mg + O2  
2,Q. 12. State what happens when zinc granules are heated with sodium hydroxide solution. Write the balanced chemical equation for the reaction. Name the main product formed in this reaction. ,"Ans. When zinc granules are heated with NaOH solution, sodium zincate is formed with the evolution of hydrogen gas. Heat 2NaOH(aq) + Zn(s) → Na2ZnO2(aq) + H2(g) The main product formed in this reaction is H2 gas. 2"
3,"Q. 13. Give reactions of calcium and magnesium with dilute nitric acid. [Board Term-I, Set-WJ7QPA9; Set-3R6WRQL, 2013] → Ca(NO3)2 + H2",Ans. Ca + 2HNO3  → Mg(NO3)2 + H2 Mg + 2HNO3  
4,Q. 14. Write balanced chemical equations for the following reactions : (i) Silver bromide on exposure to sunlight decomposes into silver and bromine. (ii) Sodium metal reacts with water to form sodium hydroxide and hydrogen gas.  Sunlight,Ans. (i) 2AgBr(s) → 2Ag(s) + Br2(g) → 2NaOH(aq) + H2(g) (ii) 2Na(s) + 2H2O(l)  
5,"Q. 15 In a test-tube, hydrochloric acid is poured over a few zinc granules. List two observations that suggest that a chemical reaction has occurred. → ZnCl2 + H2 2HCl + Zn  [Board Term-I 2012 Set (47) (NCERT Exemplar)]",Ans. (i) A colourless gas is evolved. (ii) Test-tube becomes hot. 
6,Q. 16. Convert the following statements into balanced chemical equations : (i) Zinc reacts with sulphuric acid to form zinc sulphate and hydrogen gas. (ii) Magnesium burns in oxygen to form magnesium oxide. [Board Term-I Set (48) 2012] → ZnSO4 + H2,Ans. (i) Zn + H2SO4  → 2MgO (ii) 2Mg + O2  
7,Q. 17. Write the balanced chemical equations for the following reactions. (a) Calcium hydroxide + Carbon dioxide → Calcium carbonate + Water (b) Zinc + Silver nitrate → Zinc nitrate + Silver (c) Aluminium + Copper chloride → Aluminium chloride + Copper (d) Barium chloride + Potassium sulphate → Barium sulphate + Potassium chloride ,Ans. (a) Ca(OH)2 + CO2 → CaCO3 + H2O (b) Zn + 2AgNO3 → Zn (NO3)2 + 2Ag (c) 2Al + 3CuCl2 → 2AlCl3 + 3Cu (d) BaCl2 + K2SO4 → BaSO4 + 2KCl
8,Q. 1. Define a chemical reaction. Which observation help you to determine whether a chemical reaction has taken place ? ,Ans. Chemical Reaction : Refer to Very Short Answer Type
9,Q. 2. Define the term decomposition reaction. Give one example each of thermal decomposition and electrolytic decomposition. ,"Ans. N2 + H2  (i) Examine the number of atoms of different elements present in the unbalanced equation. (ii) In the above reaction, left hand N2 and H2 of both the sides are unbalanced. (iii) To balance hydrogen, H2 is multiplied by 3 on side. It makes 6H- atoms on the left hand side. (iv) Now to balance hydrogen atoms on the right hand side, NH3 should be multiplied by 2. It makes 6Hatoms on this side. (v) Now to balance nitrogen atoms, they are counted separately for both the sides and we will find that, nitrogen atoms are 2 on both the sides. (vi) Balanced chemical equation will be : → 2NH3 ½+½+½+½+½+½ N2 + 3H2 "
