,questions,answers
0,Q. 1. Why is the process of loosening and turning of the soil an important task in agriculture ?,Ans. This allows the roots to penetrate deep into soil. The loose soil allows the roots to breathe easily deep into the soil and also helps in the growth of earthworms and microbes present in soil as they add humus to it.
1,Q. 2. Why is levelling of soil essential ?,Ans. The field is levelled for sowing and for irrigation purposes.
2,Q. 3. What are the advantages of using seed drill ?,Ans. Seed drill sows the seeds uniformly at proper distance and depth.
3,Q. 4. Why fields have to be watered regularly ?,Ans. Water is essential because germination of seeds does not take place under dry conditions.
4,Q. 5. How can a farmer increase the fertility of the soil ?,Ans. Farmers can increase the fertility of the soil by : — adding manure and fertilizers. — crop rotation. — leaving the field uncultivated in between two crops.
5,Q. 6. Why is weeding necessary ?,"Ans. Weeding is necessary since weeds compete with the crops plants for water, nutrients, space and light. They affect growth of the crop. Some weeds may be poisonous for animals and human beings."
6,Q. 1. Differenciate between fertilizer and manure.,"Ans. Differences between fertilizer and manure. S. No. Fertilizer Manure A fertilizer is an inor- Manure is a natural ganic salt. substance obtained by the decomposition of cattle dung, human waste and plant residues. A fertilizer is pre- Manure can be prepared in factories. pared in the fields. A fertilizer does not Manure provides a provide any humus to lot of humus to the the soil. soil. Fertilizers are very Manure is relatively rich in plant nutrients less rich in plant nutsuch as nitrogen, rients. phosphorus and potassium."
7,Q. 2. List all the activities practiced during cultivation of crops.,"Ans. The activities practiced during cultivation of crops are :  preparation of soil,  sowing,  adding manure and fertilizers,  Irrigation,  protecting from weeds,  harvesting,  storage."
8,Q. 3. Explain the structure of plough.,"Ans. Plough is a tool used since ancient times for tilling soil, adding manure etc. This implement is made of wood. It contains a strong triangular iron strip called ploughshare. Fig. Plough The main part of the plough is a long wood called ploughshaft. There is a handle at one end. Other end is attached to beam, placed on the bullock’s neck."
9,Q. 4. What are the advantages of manure ?,Ans. Advantages of manure :  It enhances the waterholding capacity of the soil.  It makes the soil porous due to which exchange of gases becomes easy.  It increases the number of friendly microbes.  It improves the texture of the soil.
10,Q. 5. What are the disadvantages of fertilizers ?  1 × 1 = 1,Ans. Disadvantages of using fertilizers :  They become source of water pollution.  They make soil less fertile.  They do not provide any humus to the soil. 1x3=3
