question,answer,context_1,context_2,context_3,context_4,context_5
Q. 1. Who was proclaimed German Emperor in a ceremony held at Versailles in January 1871 ? ,Ans. Kaiser William-I of Prussia.,"Fig. 11 — The proclamation of the German empire in the Hall of Mirrors at Versailles, Anton von Werner. At the centre stands the Kaiser and the chief commander of the Prussian army, General von Roon. Near them is Bismarck. This monumental work (2.7m x 2.7m) was completed and presented by the artist to Bismarck on the latter’s 70th birthday in 1885.
","On the bitterly cold morning of 18 January 1871, an assembly comprising the princes of the German states, representatives of the army, important Prussian ministers including the chief minister Otto von Bismarck gathered in the unheated Hall of Mirrors in the Palace of Versailles to proclaim the new German Empire headed by Kaiser William I of Prussia.
","EAST PRUSSIA MECKLENBURGSCHWERIN
","AUSTRIAN EMPIRE
","AUSTRIAN EMPIRE
"
"Q. 2. Who was proclaimed the King of United Italy in [Board Term-II, 2016, Outside Delhi, Set-3; 2011] ",Ans. Victor Emmanuel-II.,"Fig. 11 — The proclamation of the German empire in the Hall of Mirrors at Versailles, Anton von Werner. At the centre stands the Kaiser and the chief commander of the Prussian army, General von Roon. Near them is Bismarck. This monumental work (2.7m x 2.7m) was completed and presented by the artist to Bismarck on the latter’s 70th birthday in 1885.
","Chief Minister Cavour who led the movement to unify the regions of Italy was neither a revolutionary nor a democrat. Like many other wealthy and educated members of the Italian elite, he spoke French much better than he did Italian. Through a tactful diplomatic alliance with France engineered by Cavour, Sardinia-Piedmont succeeded in defeating the Austrian forces in 1859. Apart from regular troops, a large number of armed volunteers under the leadership of Giuseppe Garibaldi joined the fray. In 1860, they marched into South Italy and the Kingdom of the Two Sicilies and succeeded in winning the support of the local peasants in order to drive out the Spanish rulers. In 1861 Victor Emmanuel II was proclaimed king of united Italy. However, much of the Italian population, among whom rates of illiteracy were very high, remained blissfully unaware of liberalnationalist ideology. The peasant masses who had supported Garibaldi in southern Italy had never heard of Italia, and believed that ‘La Talia’ was Victor Emmanuel’s wife!
","Fig. 15 – Garibaldi helping King Victor Emmanuel II of Sardinia-Piedmont to pull on the boot named ‘Italy’. English caricature of 1859.
","SECTION II
","Fig. 22 – Lakshminath Bezbaruah (1868–1938)
"
Q. 3. When was the Act of Union passed and with what results?,Ans. In 1707. It resulted in the formation of the ‘United Kingdom of Great Britain’.,"Britain and France made vast additions to their overseas territories in the late nineteenth century. Belgium and Germany became new colonial powers. The US also became a colonial power in the late 1890s by taking over some colonies earlier held by Spain. Let us look at one example of the destructive impact of colonialism on the economy and livelihoods of colonised people.
","4.3 The Strange Case of Britain The model of the nation or the nation-state, some scholars have argued, is Great Britain. In Britain the formation of the nation-state 21 2020-21
","1860 KINGDOM OF BOTH SICILIES
","ENGLAND
","Such conditions were viewed as obstacles to economic exchange and growth by the new commercial classes, who argued for the creation of a unified economic territory allowing the unhindered movement of goods, people and capital. In 1834, a customs union or zollverein was formed at the initiative of Prussia and joined by most of the German states. The union abolished tariff barriers and reduced the number of currencies from over thirty to two. The creation of a network of railways further stimulated mobility, harnessing economic interests to national unification. A wave of economic nationalism strengthened the wider nationalist sentiments growing at the time.
"
Q. 4. Name the leader and the states which gave leadership in Italian unification.,Ans. Victor Emmanuel-II the King of Piedmont and Sardinia gave leadership in Italian unification.,"Chief Minister Cavour who led the movement to unify the regions of Italy was neither a revolutionary nor a democrat. Like many other wealthy and educated members of the Italian elite, he spoke French much better than he did Italian. Through a tactful diplomatic alliance with France engineered by Cavour, Sardinia-Piedmont succeeded in defeating the Austrian forces in 1859. Apart from regular troops, a large number of armed volunteers under the leadership of Giuseppe Garibaldi joined the fray. In 1860, they marched into South Italy and the Kingdom of the Two Sicilies and succeeded in winning the support of the local peasants in order to drive out the Spanish rulers. In 1861 Victor Emmanuel II was proclaimed king of united Italy. However, much of the Italian population, among whom rates of illiteracy were very high, remained blissfully unaware of liberalnationalist ideology. The peasant masses who had supported Garibaldi in southern Italy had never heard of Italia, and believed that ‘La Talia’ was Victor Emmanuel’s wife!
","4.2 Italy Unified Like Germany, Italy too had a long history of political fragmentation. Italians were scattered over several dynastic states as well as the multi-national Habsburg Empire. During the middle of the nineteenth century, Italy was divided into seven states, of which only one, Sardinia-Piedmont, was ruled by an Italian princely house. The north was under Austrian Habsburgs, the centre was ruled by the Pope and the southern regions were under the domination of the Bourbon kings of Spain. Even the Italian language had not acquired one common form and still had many regional and local variations. During the 1830s, Giuseppe Mazzini had sought to put together a coherent programme for a unitary Italian Republic. He had also formed a secret society called Young Italy for the dissemination of his goals. The failure of revolutionary uprisings both in 1831 and 1848 meant that the mantle now fell on Sardinia-Piedmont under its ruler King Victor Emmanuel II to unify the Italian states through war. In the eyes of the ruling elites of this region, a unified Italy offered them the possibility of economic development and political dominance. 20 2020-21
","Fig. 15 – Garibaldi helping King Victor Emmanuel II of Sardinia-Piedmont to pull on the boot named ‘Italy’. English caricature of 1859.
","LOMBARDY SAVOY SARDINIA
","Activity The artist has portrayed Garibaldi as holding on to the base of the boot, so that the King of Sardinia-Piedmont can enter it from the top. Look at the map of Italy once more. What statement is this caricature making?
"
Q. 5. Name the famous hall when Otto von Bismarck gathered to proclaim the German Empire headed by Kaiser William?,Ans. The Hall of Mirrors in the Palace of Versailles.,"Fig. 11 — The proclamation of the German empire in the Hall of Mirrors at Versailles, Anton von Werner. At the centre stands the Kaiser and the chief commander of the Prussian army, General von Roon. Near them is Bismarck. This monumental work (2.7m x 2.7m) was completed and presented by the artist to Bismarck on the latter’s 70th birthday in 1885.
","proceedings of the parliament. How would you (a) as a man seated in the hall of deputies, and (b) as a woman observing from the galleries, relate to the banner of Germania hanging from the ceiling?
","Fig. 10 — The Frankfurt parliament in the Church of St Paul. Contemporary colour print. Notice the women in the upper left gallery.
","IA POSEN
","Fig. 17 – East India Company House, London. This was the nerve centre of the worldwide operations of the East India Company.
"
Q. 6. Who has been called the ‘Hero of Two Worlds’ ?,Ans. Garibaldi has been called the ‘Hero of Two Worlds’.1,"Fig. 15 – Garibaldi helping King Victor Emmanuel II of Sardinia-Piedmont to pull on the boot named ‘Italy’. English caricature of 1859.
","was not the result of a sudden upheaval or revolution. It was the Box 2 result of a long-drawn-out process. There was no British nation Giuseppe Garibaldi (1807-82) is perhaps the prior to the eighteenth century. The primary identities of the people most celebrated of Italian freedom fighters. He who inhabited the British Isles were ethnic ones – such as English, came from a family engaged in coastal trade and Welsh, Scot or Irish. All of these ethnic groups had their own cultural was a sailor in the merchant navy. In 1833 he met Mazzini, joined the Young Italy movement and political traditions. But as the English nation steadily grew in and participated in a republican uprising in wealth, importance and power, it was able to extend its influence Piedmont in 1834. The uprising was suppressed over the other nations of the islands. The English parliament, which and Garibaldi had to flee to South America, where he lived in exile till 1848. In 1854, he supported had seized power from the monarchy in 1688 at the end of a Victor Emmanuel II in his efforts to unify the protracted conflict, was the instrument through which a nation-state, Italian states. In 1860, Garibaldi led the famous with England at its centre, came to be forged. The Act of Union Expedition of the Thousand to South Italy. Fresh volunteers kept joining through the course of (1707) between England and Scotland that resulted in the formation the campaign, till their numbers grew to about of the ‘United Kingdom of Great Britain’ meant, in effect, that 30,000. They were popularly known as Red England was able to impose its influence on Scotland. The British Shirts. In 1867, Garibaldi led an army of volunteers to parliament was henceforth dominated by its English members. The Rome to fight the last obstacle to the unification growth of a British identity meant that Scotland’s distinctive culture of Italy, the Papal States where a French garrison and political institutions were systematically suppressed. The Catholic was stationed. The Red Shirts proved to be no match for the combined French and Papal troops. clans that inhabited the Scottish Highlands suffered terrible repression It was only in 1870 when, during the war with whenever they attempted to assert their independence. The Scottish Prussia, France withdrew its troops from Rome Highlanders were forbidden to speak their Gaelic language or that the Papal States were finally joined to Italy. wear their national dress, and large numbers were forcibly driven out of their homeland. Ireland suffered a similar fate. It was a country deeply divided between Catholics and Protestants. The English helped the Protestants of Ireland to establish their dominance over a largely Catholic country. Catholic revolts against British dominance were suppressed. After a failed revolt led by Wolfe Tone and his United Irishmen (1798), Ireland was forcibly incorporated into the United Kingdom in 1801. A new ‘British nation’ was forged through the propagation of a dominant English culture. The symbols of the new Britain – the British flag (Union Jack), the national anthem (God Save Our Noble King), the English language – were actively promoted and the older nations survived only as subordinate partners in this union.
","Activity The artist has portrayed Garibaldi as holding on to the base of the boot, so that the King of Sardinia-Piedmont can enter it from the top. Look at the map of Italy once more. What statement is this caricature making?
","This glorification of machines and technology is even more marked in a picture which appeared on the pages of a trade magazine over a hundred years ago (Fig. 2). It shows two magicians. The one at the top is Aladdin from the Orient who built a beautiful palace with his
","Fig. 13 – Jawaharlal Nehru, a popular print. Nehru is here shown holding the image of Bharat Mata and the map of India close to his heart. In a lot of popular prints, nationalist leaders are shown offering their heads to Bharat Mata. The idea of sacrifice for the mother was powerful within popular imagination.
"
"Q. 7. Mazzini, Garibaldi and Cavour, all made their contribution in their own way in the unification of",Ans. Italy.,"SWITZERLAND VENETIA 1866
","LOMBARDY SAVOY SARDINIA
","CORSICA SARDINIA
","Fig. 14(a) — Italian states before unification, 1858.
","SWITZERLAND
"
Q. 8. Who was called ‘Bismarck of Italy’ ?,Ans. Garibaldi.,"Fig. 15 – Garibaldi helping King Victor Emmanuel II of Sardinia-Piedmont to pull on the boot named ‘Italy’. English caricature of 1859.
","was not the result of a sudden upheaval or revolution. It was the Box 2 result of a long-drawn-out process. There was no British nation Giuseppe Garibaldi (1807-82) is perhaps the prior to the eighteenth century. The primary identities of the people most celebrated of Italian freedom fighters. He who inhabited the British Isles were ethnic ones – such as English, came from a family engaged in coastal trade and Welsh, Scot or Irish. All of these ethnic groups had their own cultural was a sailor in the merchant navy. In 1833 he met Mazzini, joined the Young Italy movement and political traditions. But as the English nation steadily grew in and participated in a republican uprising in wealth, importance and power, it was able to extend its influence Piedmont in 1834. The uprising was suppressed over the other nations of the islands. The English parliament, which and Garibaldi had to flee to South America, where he lived in exile till 1848. In 1854, he supported had seized power from the monarchy in 1688 at the end of a Victor Emmanuel II in his efforts to unify the protracted conflict, was the instrument through which a nation-state, Italian states. In 1860, Garibaldi led the famous with England at its centre, came to be forged. The Act of Union Expedition of the Thousand to South Italy. Fresh volunteers kept joining through the course of (1707) between England and Scotland that resulted in the formation the campaign, till their numbers grew to about of the ‘United Kingdom of Great Britain’ meant, in effect, that 30,000. They were popularly known as Red England was able to impose its influence on Scotland. The British Shirts. In 1867, Garibaldi led an army of volunteers to parliament was henceforth dominated by its English members. The Rome to fight the last obstacle to the unification growth of a British identity meant that Scotland’s distinctive culture of Italy, the Papal States where a French garrison and political institutions were systematically suppressed. The Catholic was stationed. The Red Shirts proved to be no match for the combined French and Papal troops. clans that inhabited the Scottish Highlands suffered terrible repression It was only in 1870 when, during the war with whenever they attempted to assert their independence. The Scottish Prussia, France withdrew its troops from Rome Highlanders were forbidden to speak their Gaelic language or that the Papal States were finally joined to Italy. wear their national dress, and large numbers were forcibly driven out of their homeland. Ireland suffered a similar fate. It was a country deeply divided between Catholics and Protestants. The English helped the Protestants of Ireland to establish their dominance over a largely Catholic country. Catholic revolts against British dominance were suppressed. After a failed revolt led by Wolfe Tone and his United Irishmen (1798), Ireland was forcibly incorporated into the United Kingdom in 1801. A new ‘British nation’ was forged through the propagation of a dominant English culture. The symbols of the new Britain – the British flag (Union Jack), the national anthem (God Save Our Noble King), the English language – were actively promoted and the older nations survived only as subordinate partners in this union.
","Chief Minister Cavour who led the movement to unify the regions of Italy was neither a revolutionary nor a democrat. Like many other wealthy and educated members of the Italian elite, he spoke French much better than he did Italian. Through a tactful diplomatic alliance with France engineered by Cavour, Sardinia-Piedmont succeeded in defeating the Austrian forces in 1859. Apart from regular troops, a large number of armed volunteers under the leadership of Giuseppe Garibaldi joined the fray. In 1860, they marched into South Italy and the Kingdom of the Two Sicilies and succeeded in winning the support of the local peasants in order to drive out the Spanish rulers. In 1861 Victor Emmanuel II was proclaimed king of united Italy. However, much of the Italian population, among whom rates of illiteracy were very high, remained blissfully unaware of liberalnationalist ideology. The peasant masses who had supported Garibaldi in southern Italy had never heard of Italia, and believed that ‘La Talia’ was Victor Emmanuel’s wife!
","Activity The artist has portrayed Garibaldi as holding on to the base of the boot, so that the King of Sardinia-Piedmont can enter it from the top. Look at the map of Italy once more. What statement is this caricature making?
","1860 KINGDOM OF BOTH SICILIES
"
"Q. 9. During the middle of the 19th century, Italy was divided into ____ states.",Ans. Seven.,"a
","1858
","BA DE N
","77 2020-21
","N a t i o n a l i s m in
"
"Q. 10. Elle, the measuring unit in Germany was used to measure.",Ans. Cloth.,"Fig. 28 – An Indian mill cloth label. The goddess is shown offering cloth produced in an Ahmedabad mill, and asking people to use things made in India. 101
","When Manchester industrialists began selling cloth in India, they put labels on the cloth bundles. The label was needed to make the place of manufacture and the name of the company familiar to the buyer. The label was also to be a mark of quality. When buyers saw ‘MADE IN MANCHESTER’ written in bold on the label, they were expected to feel confident about buying the cloth.
","New words Stapler – A person who ‘staples’ or sorts wool according to its fibre Fuller – A person who ‘fulls’ – that is, gathers – cloth by pleating Carding – The process in which fibres, such as cotton or wool, are prepared prior to spinning
","a
","2. How did the East India Company procure regular supplies of cotton and silk textiles from Indian weavers?
"
